Fold,ET_Dice,ET_HD95,TC_Dice,TC_HD95,WT_Dice,WT_HD95
1,0.0,17.70310166644022,0.01894374191761017,14.349212191294221,0.6427881717681885,7.0
2,0.7341577410697937,1.4142135623730951,0.6850478649139404,5.385164807134504,0.6483947038650513,6.4031242374328485
3,0.47019535303115845,12.68857754044952,0.6282379031181335,6.557438524302,0.5946603417396545,8.06225774829855
4,0.5324776768684387,2.23606797749979,0.5222101807594299,3.7416573867739413,0.5987727642059326,5.0990195135927845
5,0.7798255681991577,1.7320508075688772,0.6624048948287964,5.0990195135927845,0.8036611676216125,7.681145747868608
6,0.27897387742996216,12.0,0.3151344358921051,11.213814092116106,0.6986217498779297,9.486832980505138
7,0.3879159390926361,4.123105625617661,0.4181216061115265,4.242640687119285,0.7460693717002869,5.385164807134504
8,0.32773110270500183,2.23606797749979,0.3118952810764313,2.8284271247461903,0.21222606301307678,19.478127913144913
9,0.6843645572662354,1.7320508075688772,0.5824887156486511,4.242640687119285,0.7011090517044067,6.0
10,0.32716676592826843,2.23606797749979,0.32147184014320374,3.4641016151377544,0.5674390196800232,6.6332495807108
11,0.7943295836448669,1.7320508075688772,0.7188059091567993,4.898979485566356,0.7435629963874817,7.874007874011811
12,0.8421727418899536,1.4142135623730951,0.6088420152664185,4.123105625617661,0.7207412719726562,7.0710678118654755
13,0.6289469003677368,2.23606797749979,0.5797926187515259,4.898979485566356,0.7015349864959717,6.082762530298219
14,0.7904136180877686,2.0,0.7810435891151428,5.385164807134504,0.6926053166389465,9.433981132056603
15,0.33340296149253845,2.449489742783178,0.3355805277824402,2.8284271247461903,0.5855007767677307,7.681145747868608
16,0.495626837015152,5.830951894845301,0.2948618531227112,8.12403840463596,0.48091939091682434,5.744562646538029
17,0.5081105828285217,41.98809355043403,0.5979416370391846,39.87104170912448,0.5949004888534546,31.319322742558157
18,0.07297464460134506,8.306623862918075,0.07799766957759857,8.306623862918075,0.6570459604263306,4.898979485566356
19,0.19772614538669586,9.0,0.400760680437088,4.898979485566356,0.5637916326522827,9.848857801796104
20,0.0,0.0,0.3542039394378662,41.129063639797515,0.08126826584339142,45.19955751995809
21,0.11702127754688263,10.910807319280138,0.8877654671669006,5.0990195135927845,0.7431311011314392,5.196152422706632
22,0.09150326997041702,13.251956928999219,0.07404360175132751,20.46948949045872,0.8276413679122925,6.0
23,0.4050196707248688,3.0,0.48256608843803406,7.3484692283495345,0.7760140895843506,8.717797887081348
24,0.5671226978302002,12.59355958007111,0.5198207497596741,8.660254037844387,0.5228002667427063,13.11678051807207
25,0.6506316661834717,20.57904014923755,0.6202935576438904,3.3166247903554,0.6698665022850037,4.58257569495584
26,0.16612021625041962,18.560589009552043,0.22708985209465027,17.72991311758967,0.4241423010826111,6.164414002968976
27,0.5392905473709106,2.449489742783178,0.6142574548721313,4.69041575982343,0.7893813252449036,6.324555320336759
28,0.6640106439590454,2.23606797749979,0.6386768221855164,2.449489742783178,0.7069107890129089,4.123105625617661
29,0.557894766330719,7.120320243539637,0.32248520851135254,8.28245881824497,0.7935444116592407,7.280109889280518
30,0.7321428656578064,1.7320508075688772,0.5129157304763794,4.58257569495584,0.619369387626648,7.0710678118654755
31,0.0,0.0,0.05190952867269516,8.774964387392123,0.8278231620788574,5.830951894845301
32,0.8049502372741699,2.0,0.7765101194381714,3.3166247903554,0.6176082491874695,5.385164807134504
33,0.4483673870563507,9.0,0.33423149585723877,6.324555320336759,0.6366006731987,4.898979485566356
34,0.08947368711233139,5.034656829757472,0.5346320271492004,4.69041575982343,0.537590742111206,6.0
35,0.45359018445014954,3.0,0.4730398654937744,3.1777123731870676,0.6631693840026855,6.708203932499369
36,0.455089807510376,4.123105625617661,0.5090810656547546,4.69041575982343,0.580157995223999,3.605551275463989
37,0.7307509779930115,2.0,0.6445662379264832,4.898979485566356,0.6802263855934143,4.358898943540674
38,0.7832203507423401,2.0,0.720356822013855,4.242640687119285,0.6376254558563232,7.483314773547883
39,0.7410121560096741,2.0,0.6497941613197327,6.0,0.6973390579223633,7.681145747868608
40,0.5912680625915527,2.23606797749979,0.5911917686462402,4.123105625617661,0.5884660482406616,6.164414002968976
41,0.36285096406936646,3.1298221281347054,0.11048336327075958,9.486832980505138,0.7620061039924622,6.0
42,0.0,0.0,0.0,20.51950223145774,0.7479047775268555,4.58257569495584
43,0.7418406009674072,2.23606797749979,0.7192124128341675,5.744562646538029,0.8385503888130188,7.615773105863909
44,0.4382120966911316,2.8884776310850278,0.4248366057872772,5.058845726811981,0.682182252407074,3.4641016151377544
45,0.5535574555397034,3.1622776601683795,0.44724157452583313,5.385164807134504,0.5956898927688599,7.615773105863909
46,0.005635919515043497,44.91937195426711,0.01372262742370367,43.81780014071151,0.38529831171035767,31.341663489594442
47,0.5608432292938232,5.196152422706632,0.6059550046920776,6.4031242374328485,0.5459262132644653,11.0
48,0.6277084946632385,2.23606797749979,0.6401029229164124,5.0,0.8197121620178223,7.0710678118654755
49,0.16011540591716766,5.385164807134504,0.2568570375442505,4.123105625617661,0.5677359700202942,5.0990195135927845
50,0.6777117848396301,2.0,0.5112862586975098,5.385164807134504,0.609070360660553,7.0
51,0.7502443790435791,1.7320508075688772,0.753848135471344,5.0990195135927845,0.8001967072486877,7.0710678118654755
52,0.4356202185153961,4.658063740363133,0.47574079036712646,3.3166247903554,0.45246657729148865,10.488088481701515
53,0.25806450843811035,13.45362404707371,0.23410922288894653,11.679022238102206,0.4040975868701935,7.280109889280518
54,0.5618112683296204,27.837019967033612,0.4586554169654846,27.910571473905726,0.6299002170562744,13.92838827718412
55,0.0,13.765421289442354,0.21111677587032318,4.398531897551281,0.5228686928749084,6.48074069840786
56,0.6762990951538086,3.0,0.5355954766273499,5.385164807134504,0.7112186551094055,5.830951894845301
57,0.6705936789512634,1.4142135623730951,0.6840145587921143,5.477225575051661,0.6415332555770874,9.9498743710662
58,0.3801169693470001,9.115905360221035,0.058468956500291824,8.602325267042627,0.48860758543014526,40.165905535192884
59,0.20114941895008087,14.839100683170598,0.1274999976158142,14.035668847618199,0.7269364595413208,5.744562646538029
60,0.2737066149711609,3.0,0.5487096905708313,5.0,0.5686949491500854,7.483314773547883
61,0.7319444417953491,1.4142135623730951,0.36357593536376953,7.3484692283495345,0.7190003991127014,5.0990195135927845
62,0.11627907305955887,5.843721078083448,0.3656529486179352,4.123105625617661,0.6652067303657532,4.898979485566356
63,0.39780521392822266,5.064362683835296,0.30218538641929626,5.0990195135927845,0.6290158629417419,3.0
64,0.5970110893249512,2.449489742783178,0.3677171766757965,10.677078252031311,0.6870497465133667,5.0990195135927845
Average,0.4524080467308522,6.806673384611934,0.4471500438376097,8.555196482445602,0.6339983132202178,8.849786704480975
